Site_ID,Site_Name,Latitude,Longitude,Project,COUNT,d2H,d18O
NLA06608-2663,Bieri Lake Number 3,29.20565727,-95.35917721,EPA Lakes,1,3.133612962,1.13440276
NLA06608-2673,Strawberry Lake,44.30658171,-118.6850367,EPA Lakes,1,-106.918558,-13.70117756
NLA06608-2685,Trail Lake,40.68363702,-110.9547924,EPA Lakes,1,-105.3820694,-13.00322842
NLA06608-2696,White Rock Lake,32.8366626,-96.71956089,EPA Lakes,1,-14.60565304,-2.830474791
NLA06608-2704,Lake Marvin,35.8844838,-100.1852787,EPA Lakes,1,-3.367543482,1.426742574
NLA06608-2708,Whippoorwill Lake,39.54217646,-86.49533079,EPA Lakes,1,-34.49201762,-4.456130762
NLA06608-2714,L A K Reservoir,43.82780189,-104.1093535,EPA Lakes,1,-27.07770572,-2.062287849
NLA06608-2715,Alice Lake,41.99075603,-103.61424,EPA Lakes,1,-107.5798962,-12.84664094
NLA06608-2726,South Twin Lake,43.71378677,-121.7665432,EPA Lakes,1,-60.41624399,-4.566505515
NLA06608-2740,Sherman Reservoir,41.29419937,-98.90220683,EPA Lakes,1,-60.59713364,-7.793806032
NLA06608-2753,Medical Lake,47.57068723,-117.6889884,EPA Lakes,1,-61.57321457,-4.190946883
NLA06608-2759,Llano City Lake,30.75592819,-98.68391282,EPA Lakes,1,-33.84442048,-5.002412758
NLA06608-2776,Garriott Property Lake,33.49584507,-96.95936703,EPA Lakes,1,-5.503475997,-0.305316933
NLA06608-2779,Big Barbee Lake,41.27976472,-85.70517583,EPA Lakes,1,-45.49374919,-6.575918794
NLA06608-2797,Echo Canyon Reservoir,37.90869352,-114.264347,EPA Lakes,1,-82.50005721,-9.105472648
NLA06608-2800,Pishkun Reservoir,47.67808029,-112.4771506,EPA Lakes,1,-124.0263151,-15.51158971
NLA06608-2801,Stone Reservoir,42.08566286,-112.689224,EPA Lakes,1,-123.5599072,-15.64257886
NLA06608-2807,Lake Whitney,31.90669248,-97.41861663,EPA Lakes,1,-13.85375161,-2.156541578
NLA06608-2823,Cotile Lake,31.29345058,-92.74143447,EPA Lakes,1,-6.951235883,-1.272840977
NLA06608-2824,Ericson Lake,41.76461732,-98.66083463,EPA Lakes,1,-60.32444063,-8.68297011
NLA06608-2831,Weiss Reservoir,34.14749294,-85.7918613,EPA Lakes,1,-19.8458099,-3.340236568
NLA06608-2833,Wapato,47.91880419,-120.164879,EPA Lakes,1,-85.85649152,-8.477487767
NLA06608-2874,Holter Lake,46.93083483,-111.9632243,EPA Lakes,1,-134.0727631,-16.91380372
NLA06608-2881,Whitefish Lake,48.45509278,-114.388,EPA Lakes,1,-119.6887514,-15.39666309
NLA06608-2889,Walker Lake,38.70359768,-118.7179736,EPA Lakes,1,-28.28575432,0.745575429
NLA06608-2891,Crystal Lake,41.23224913,-85.98525778,EPA Lakes,1,-27.19077415,-2.523522846
NLA06608-2916,Yellow Bank Lake,38.21295517,-87.11602237,EPA Lakes,1,-21.03092212,-2.188354804
NLA06608-2924,Moss Creek Lake,32.23706223,-101.3181565,EPA Lakes,1,4.11700395,2.101916496
NLA06608-2954,Singleton Pond,44.02361323,-111.6037333,EPA Lakes,1,-85.42030287,-7.736955913
NLA06608-2955,Logan Martin Lake,33.55680923,-86.14384613,EPA Lakes,1,-17.07033701,-3.117385646
NLA06608-2972,Rat Lake,42.45325719,-100.649942,EPA Lakes,1,-28.54340244,-1.931023537
NLA06608-2987,South Chain Lake,41.67863226,-86.36950208,EPA Lakes,1,-24.29566134,-0.922374227
