"","Site_ID","Site_Name","Project","COUNT","d2H","d18O","OBJECTID","Dist_moved","h_ann","o_ann","fa_qs_ann","h_win","o_win","fa_qs_win","h_sum","o_sum","fa_qs_sum","elsl","el","es"
"281","NLA06608-0512","South Loon Lake","EPA Lakes",1,-46.98728898,-3.527565713,"242277",6,-97.5904710870412,-13.0440974490347,0.00405908469110727,-145.871409069712,-19.0637326001696,0.00131337333004922,-74.4959578089499,-10.1646904433898,0.00274571077898145,5.45184670524929,5.44192792097228,3.79848031623028
"282","NLA06608-0514","Raystown Lake","EPA Lakes",1,-51.17584292,-7.865968942,"29822",0,-56.4056297943553,-8.80459887643907,1.2746479511261,-71.6897205250057,-10.7877406234934,0.654268026351929,-40.2866231940883,-6.71313064294112,0.620379865169525,5.27529350784402,5.34162826780128,3.72455545265319
"283","NLA06608-0515","Minnow Lake","EPA Lakes",1,-39.71522499,-3.864361177,"311355",11,-82.7545003302671,-11.042998292265,0.00515619944781065,-131.412165006703,-17.2326442778829,0.00138705549761653,-64.8483397198183,-8.76519116955203,0.00376914441585541,5.36004143478312,5.37470366486254,3.75091391278776
"284","NLA06608-0523","Brant Lake","EPA Lakes",1,-32.21028241,-3.537967978,"326605",5,-67.2272754543513,-9.4223379546422,0.0720274075865746,-108.638268680102,-14.7398897287516,0.0215597003698349,-49.5365992368379,-7.15068946211346,0.0504676923155785,5.26405971963931,5.26064561638846,3.67379593063931
"285","NLA06608-0526","Becoosin Lake","EPA Lakes",1,-63.28634766,-7.196374417,"265702",2,-84.9680449884306,-11.9198457145622,0.0108962953090668,-130.798016532696,-17.7253826688082,0.00267425691708922,-70.0616143020189,-10.0315660698921,0.00822203978896141,5.91354843789171,5.90777867020839,4.11857888575479
"286","NLA06608-0528","Johnson Lake","EPA Lakes",1,-67.77938346,-8.414401912,"333092",9,-65.5419944731663,-9.23013484656217,0.00994979683309793,-105.250878706128,-14.395721287557,0.00273568136617541,-50.4839074429295,-7.27128234040203,0.00721411453559995,4.99437293736725,4.97968271285375,3.47657956013072
"287","NLA06608-0529","Moses Lake","EPA Lakes",1,-117.4847995,-14.58361064,"427966",0,-104.703484891348,-13.6978820584346,0.45299232006073,-108.126421371924,-14.2032263420965,0.389467477798462,-83.7177876449335,-10.599674945761,0.0635247975587845,4.94170471477801,5.09708900579629,3.56972887300376
"288","NLA06608-0530","Oleander Lake","EPA Lakes",1,5.101236284,1.345735478,"59704",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","NLA06608-0531",NA,"EPA Lakes",1,-34.18734113,-2.445767534,"296084",1,-82.5547621919071,-11.0111827630925,0.180146902799606,-130.591055133266,-17.119629470585,0.0471625030040741,-65.518869948864,-8.84484382360416,0.132984340190887,5.38805614847559,5.4065298083377,3.77471291862422
"290","NLA06608-0533","Cuba Lake","EPA Lakes",1,-69.15054518,-9.733460703,"147711",0,-71.5329163992263,-10.6946498493728,0.013311306014657,-87.2789212166138,-12.758198519192,0.00804085284471512,-47.5100550334275,-7.54640438679714,0.0052704531699419,5.91807004566881,5.91893471463834,4.11436442823581
